attraction,rank
アリスのティーパーティー,
イッツ・ア・スモールワールド,11
ウエスタンランド・シューティングギャラリー,-1
ウエスタンリバー鉄道,-1
オムニバス,-1
カリブの海賊,13
カントリーベア・シアター,
ガジェットのゴーコースター,
キャッスルカルーセル,
グーフィーのペイント＆プレイハウス,
シンデレラのフェアリーテイル・ホール,
スター・ツアーズ,8
スティッチ・エンカウンター,9
スプラッシュ・マウンテン,12
スペース・マウンテン,6
チップとデールのツリーハウス,
トムソーヤ島いかだ,
ドナルドのボート,
ビッグサンダー・マウンテン,5
ピノキオの冒険旅行,
ピーターパン空の旅,
プーさんのハニーハント,3
ベイマックスのハッピーライド,2
ホーンテッドマンション,7
ミッキーのフィルハーマジック,10
ミニーの家,-1
モンスターズ・インクライド＆ゴー,4
ロジャーラビットのカートゥーンスピン,
白雪姫と七人のこびと,
空飛ぶダンボ,
美女と野獣魔法のものがたり,1
魅惑のチキルーム,
0_スタート地点,0
バズ・ライトイヤーのアストロブラスター,-1
